symbol,index,security,status,reason,rows,start,end
AIN,S&P 600,Albany International Corp.,OK,,899,2023-01-13,2026-08-19
AIR,S&P 600,AAR Corp.,OK,,900,2023-01-13,2026-08-19
AIT,S&P 400,Applied Industrial Technologies,OK,,899,2023-01-13,2026-08-19
AKR,S&P 600,Acadia Realty Trust,OK,,899,2023-01-13,2026-08-19
ALG,S&P 600,Alamo Group,OK,,899,2023-01-13,2026-08-19
ALGM,S&P 400,Allegro MicroSystems,OK,,901,2023-01-13,2026-08-19
ALGT,S&P 600,Allegiant Travel Company,OK,,899,2023-01-13,2026-08-19
ALHC,S&P 600,"Alignment Healthcare, Inc.",OK,,902,2023-01-13,2026-08-19
ALK,S&P 400,Alaska Air Group,OK,,900,2023-01-13,2026-08-19
ALKS,S&P 600,Alkermes plc,OK,,899,2023-01-13,2026-08-19
ALLY,S&P 400,Ally Financial,OK,,902,2023-01-13,2026-08-19
ALRM,S&P 600,"Alarm.Com, Inc.",OK,,899,2023-01-13,2026-08-19
ALSN,S&P 400,Allison Transmission,OK,,899,2023-01-13,2026-08-19
ALV,S&P 400,Autoliv,OK,,902,2023-01-13,2026-08-19
AM,S&P 400,Antero Midstream,OK,,899,2023-01-13,2026-08-19
AMG,S&P 400,Affiliated Managers Group,OK,,899,2023-01-13,2026-08-19
AMH,S&P 400,American Homes 4 Rent,OK,,902,2023-01-13,2026-08-19
AMKR,S&P 400,Amkor Technology,OK,,902,2023-01-13,2026-08-19
AMN,S&P 600,"Amn Healthcare Services, Inc.",OK,,902,2023-01-13,2026-08-19
AMPH,S&P 600,"Amphstar Pharmaceuticals, Inc.",OK,,900,2023-01-13,2026-08-19
AMR,S&P 600,"Alpha Metallurgical Resources, Inc.",OK,,899,2023-01-13,2026-08-19
AMRX,S&P 600,Amneal Pharmaceuticals,OK,,900,2023-01-13,2026-08-19
AMSF,S&P 600,"Amerisafe, Inc.",OK,,899,2023-01-13,2026-08-19
AMTM,S&P 600,Amentum,OK,,475,2024-09-24,2026-08-19
AN,S&P 400,AutoNation,OK,,899,2023-01-13,2026-08-19
ANDE,S&P 600,"The Andersons, Inc.",OK,,902,2023-01-13,2026-08-19
ANF,S&P 400,Abercrombie & Fitch,OK,,899,2023-01-13,2026-08-19
ANIP,S&P 600,"ANI Pharmaceuticals, Inc.",OK,,899,2023-01-13,2026-08-19
AORT,S&P 600,Artivion,OK,,899,2023-01-13,2026-08-19
AOSL,S&P 600,"Alpha and Omega Semiconductor, Ltd.",OK,,900,2023-01-13,2026-08-19
APAM,S&P 600,"Artisan Partners Asset Management, Inc.",OK,,899,2023-01-13,2026-08-19
APG,S&P 400,APi Group,OK,,899,2023-01-13,2026-08-19
APLE,S&P 600,"Apple Hospitality REIT, Inc.",OK,,902,2023-01-13,2026-08-19
APOG,S&P 600,"Apogee Enterprises, Inc.",OK,,899,2023-01-13,2026-08-19
APPF,S&P 400,AppFolio,OK,,899,2023-01-13,2026-08-19
AR,S&P 400,Antero Resources,OK,,901,2023-01-13,2026-08-19
ARCB,S&P 600,ArcBest Corp.,OK,,902,2023-01-13,2026-08-19
ARLO,S&P 600,Arlo Technologies,OK,,899,2023-01-13,2026-08-19
ARMK,S&P 400,Aramark,OK,,900,2023-01-13,2026-08-19
AROC,S&P 600,"Archrock, Inc.",OK,,899,2023-01-13,2026-08-19
ARR,S&P 600,Armour Residential REIT,OK,,902,2023-01-13,2026-08-19
ARW,S&P 400,Arrow Electronics,OK,,899,2023-01-13,2026-08-19
ARWR,S&P 400,Arrowhead Pharmaceuticals,OK,,900,2023-01-13,2026-08-19
ASB,S&P 400,Associated Bank,OK,,899,2023-01-13,2026-08-19
ASH,S&P 400,Ashland Global,OK,,902,2023-01-13,2026-08-19
ASO,S&P 600,Academy Sports + Outdoors,OK,,899,2023-01-13,2026-08-19
ASTE,S&P 600,"Astec Industries, Inc.",OK,,899,2023-01-13,2026-08-19
ASTH,S&P 600,"Astrana Health, Inc.",OK,,902,2023-01-13,2026-08-19
ATEN,S&P 600,"A10 Networks, Inc.",OK,,899,2023-01-13,2026-08-19
ATI,S&P 400,ATI Inc.,OK,,902,2023-01-13,2026-08-19
ATMU,S&P 600,Atmus Filtration Technologies Inc.,OK,,807,2023-05-26,2026-08-19
ATR,S&P 400,AptarGroup,OK,,899,2023-01-13,2026-08-19
AUB,S&P 600,"Atlantic Union Bankshares, Corp.",OK,,899,2023-01-13,2026-08-19
AVA,S&P 600,Avista Corporation,OK,,899,2023-01-13,2026-08-19
AVAV,S&P 400,AeroVironment,OK,,902,2023-01-13,2026-08-19
AVNT,S&P 400,Avient,OK,,899,2023-01-13,2026-08-19
AVT,S&P 400,Avnet,OK,,899,2023-01-13,2026-08-19
AVTR,S&P 400,Avantor,OK,,902,2023-01-13,2026-08-19
AWI,S&P 600,"Armstrong World Industries, Inc.",OK,,899,2023-01-13,2026-08-19
AWR,S&P 600,American States Water Company,OK,,899,2023-01-13,2026-08-19
AX,S&P 600,"Axos Financial, Inc.",OK,,899,2023-01-13,2026-08-19
AXTA,S&P 400,Axalta,OK,,899,2023-01-13,2026-08-19
AYI,S&P 400,Acuity Brands,OK,,899,2023-01-13,2026-08-19
AZTA,S&P 600,"Azenta, Inc.",OK,,899,2023-01-13,2026-08-19
AZZ,S&P 600,"AZZ, Inc.",OK,,902,2023-01-13,2026-08-19
BAH,S&P 400,Booz Allen Hamilton,OK,,899,2023-01-13,2026-08-19
BANC,S&P 600,"Banc Of California, Inc.",OK,,899,2023-01-13,2026-08-19
BANF,S&P 600,Bancfirst Corp,OK,,902,2023-01-13,2026-08-19
BANR,S&P 600,Banner Corporation,OK,,902,2023-01-13,2026-08-19
BBT,S&P 600,Beacon Financial Corp.,OK,,899,2023-01-13,2026-08-19
BBWI,S&P 400,"Bath & Body Works, Inc.",OK,,899,2023-01-13,2026-08-19
BC,S&P 400,Brunswick,OK,,899,2023-01-13,2026-08-19
BCC,S&P 600,Boise Cascade,OK,,899,2023-01-13,2026-08-19
BCO,S&P 400,Brink's,OK,,899,2023-01-13,2026-08-19
BCPC,S&P 600,Balchem Corporation,OK,,899,2023-01-13,2026-08-19
BDC,S&P 400,Belden Inc.,OK,,899,2023-01-13,2026-08-19
BFAM,S&P 600,Bright Horizons Family Solutions Inc.,OK,,899,2023-01-13,2026-08-19
BFH,S&P 600,"Bread Financial Holdings, Inc.",OK,,899,2023-01-13,2026-08-19
BFS,S&P 600,"Saul Centers, Inc.",OK,,899,2023-01-13,2026-08-19
BGC,S&P 600,"BGC Group, Inc.",OK,,899,2023-01-13,2026-08-19
BHE,S&P 600,"Benchmark Electronics, Inc.",OK,,899,2023-01-13,2026-08-19
BHF,S&P 400,Brighthouse Financial,OK,,899,2023-01-13,2026-08-19
BILL,S&P 400,Bill Holdings,OK,,899,2023-01-13,2026-08-19
BIO,S&P 400,Bio-Rad Laboratories,OK,,899,2023-01-13,2026-08-19
BJ,S&P 400,BJ's Wholesale Club,OK,,899,2023-01-13,2026-08-19
BJRI,S&P 600,"BJ's Restaurants, Inc.",OK,,899,2023-01-13,2026-08-19
BKE,S&P 600,"The Buckle, Inc.",OK,,899,2023-01-13,2026-08-19
BKH,S&P 400,Black Hills Corporation,OK,,899,2023-01-13,2026-08-19
BKU,S&P 600,"BankUnited, Inc.",OK,,899,2023-01-13,2026-08-19
BL,S&P 600,"BlackLine Systems, Inc.",OK,,900,2023-01-13,2026-08-19
BLFS,S&P 600,"BioLife Solutions, Inc.",OK,,902,2023-01-13,2026-08-19
BLKB,S&P 600,Blackbaud,OK,,902,2023-01-13,2026-08-19
BMI,S&P 600,"Badger Meter, Inc.",OK,,900,2023-01-13,2026-08-19
BMRN,S&P 400,BioMarin Pharmaceutical,OK,,900,2023-01-13,2026-08-19
BNL,S&P 600,"Broadstone Net Lease, Inc.",OK,,899,2023-01-13,2026-08-19
BOH,S&P 600,Bank of Hawaii,OK,,899,2023-01-13,2026-08-19
BOOT,S&P 600,"Boot Barn Holdings, Inc.",OK,,899,2023-01-13,2026-08-19
BOX,S&P 600,"Box, Inc.",OK,,902,2023-01-13,2026-08-19
BRC,S&P 600,Brady Corporation,OK,,899,2023-01-13,2026-08-19
BRKR,S&P 400,Bruker,OK,,899,2023-01-13,2026-08-19
BROS,S&P 400,Dutch Bros Inc.,OK,,902,2023-01-13,2026-08-19
BRX,S&P 400,Brixmor Property Group,OK,,902,2023-01-13,2026-08-19
BSY,S&P 400,Bentley Systems,OK,,899,2023-01-13,2026-08-19
BTSG,S&P 400,BrightSpring Health Services,OK,,643,2024-01-26,2026-08-19
