ticker,entry_date,entry_price,risk_per_share,score_at_entry,shares,position_cost,sizing_constraint,exit_date,exit_reason,exit_price,realized_R,realized_pnl
GEO,2026-09-24,31.0529,1.2969,4.0,100,3105.29,cost,2026-09-25,atr_sched_c_trail,31.2202,0.129,16.73
CXW,2026-09-24,32.6031,1.5908,4.0,95,3097.29,cost,2026-09-25,atr_sched_c_trail,32.1306,-0.297,-44.88
