run_date,ticker,dropped_at,disposition,entry_price,risk_per_share,adr10_pct,overhead_R,score,shares,position_cost,sizing_constraint
2026-09-15,BAH,no_data_for_date,,,,,,,,,
2026-09-15,BANC,no_data_for_date,,,,,,,,,
2026-09-15,BANF,no_data_for_date,,,,,,,,,
2026-09-15,BANR,no_data_for_date,,,,,,,,,
2026-09-15,BBT,no_data_for_date,,,,,,,,,
2026-09-15,BBWI,no_data_for_date,,,,,,,,,
2026-09-15,BCC,no_data_for_date,,,,,,,,,
2026-09-15,BCO,no_data_for_date,,,,,,,,,
2026-09-15,BCPC,no_data_for_date,,,,,,,,,
2026-09-15,BC,no_data_for_date,,,,,,,,,
2026-09-15,BDC,no_data_for_date,,,,,,,,,
2026-09-15,BFAM,no_data_for_date,,,,,,,,,
2026-09-15,BFH,no_data_for_date,,,,,,,,,
2026-09-15,BFS,no_data_for_date,,,,,,,,,
2026-09-15,BGC,no_data_for_date,,,,,,,,,
2026-09-15,BHE,no_data_for_date,,,,,,,,,
2026-09-15,BHF,no_data_for_date,,,,,,,,,
2026-09-15,BILL,no_data_for_date,,,,,,,,,
2026-09-15,BIO,no_data_for_date,,,,,,,,,
2026-09-15,BJRI,no_data_for_date,,,,,,,,,
2026-09-15,BJ,no_data_for_date,,,,,,,,,
2026-09-15,BKE,no_data_for_date,,,,,,,,,
2026-09-15,BKH,no_data_for_date,,,,,,,,,
2026-09-15,BKU,no_data_for_date,,,,,,,,,
2026-09-15,BLFS,no_data_for_date,,,,,,,,,
2026-09-15,BLKB,no_data_for_date,,,,,,,,,
2026-09-15,BL,no_data_for_date,,,,,,,,,
2026-09-15,BMI,no_data_for_date,,,,,,,,,
2026-09-15,BMRN,no_data_for_date,,,,,,,,,
2026-09-15,BNL,no_data_for_date,,,,,,,,,
2026-09-15,BOH,no_data_for_date,,,,,,,,,
2026-09-15,BOOT,no_data_for_date,,,,,,,,,
2026-09-15,BOX,no_data_for_date,,,,,,,,,
2026-09-15,BRC,no_data_for_date,,,,,,,,,
2026-09-15,BRKR,no_data_for_date,,,,,,,,,
2026-09-15,BROS,no_data_for_date,,,,,,,,,
2026-09-15,BRX,no_data_for_date,,,,,,,,,
2026-09-15,BSY,no_data_for_date,,,,,,,,,
2026-09-15,BTSG,no_data_for_date,,,,,,,,,
2026-09-15,BTU,no_data_for_date,,,,,,,,,
2026-09-15,BURL,no_data_for_date,,,,,,,,,
2026-09-15,BWA,no_data_for_date,,,,,,,,,
2026-09-15,BWXT,no_data_for_date,,,,,,,,,
2026-09-15,BXMT,no_data_for_date,,,,,,,,,
2026-09-15,BYD,no_data_for_date,,,,,,,,,
2026-09-15,CACC,no_data_for_date,,,,,,,,,
2026-09-15,CACI,no_data_for_date,,,,,,,,,
2026-09-15,CAG,no_data_for_date,,,,,,,,,
2026-09-15,CAKE,no_data_for_date,,,,,,,,,
2026-09-15,CALM,no_data_for_date,,,,,,,,,
2026-09-15,CALX,no_data_for_date,,,,,,,,,
2026-09-15,CALY,no_data_for_date,,,,,,,,,
2026-09-15,CARG,no_data_for_date,,,,,,,,,
2026-09-15,CART,no_data_for_date,,,,,,,,,
2026-09-15,CAR,no_data_for_date,,,,,,,,,
2026-09-15,CASH,no_data_for_date,,,,,,,,,
2026-09-15,CATY,no_data_for_date,,,,,,,,,
2026-09-15,CAVA,no_data_for_date,,,,,,,,,
2026-09-15,CBRL,no_data_for_date,,,,,,,,,
2026-09-15,CBSH,no_data_for_date,,,,,,,,,
2026-09-15,CBT,no_data_for_date,,,,,,,,,
2026-09-15,CBU,no_data_for_date,,,,,,,,,
2026-09-15,CBZ,no_50ma_touch,,,,,,,,,
2026-09-15,CCK,no_data_for_date,,,,,,,,,
2026-09-15,CCOI,no_data_for_date,,,,,,,,,
2026-09-15,CCS,no_data_for_date,,,,,,,,,
2026-09-15,CC,no_data_for_date,,,,,,,,,
2026-09-15,CDE,no_data_for_date,,,,,,,,,
2026-09-15,CDNA,no_50ma_touch,,,,,,,,,
2026-09-15,CDP,no_data_for_date,,,,,,,,,
2026-09-15,CELH,no_data_for_date,,,,,,,,,
2026-09-15,CENTA,no_data_for_date,,,,,,,,,
2026-09-15,CENT,no_data_for_date,,,,,,,,,
2026-09-15,CENX,no_data_for_date,,,,,,,,,
2026-09-15,CERT,no_data_for_date,,,,,,,,,
2026-09-15,CE,no_data_for_date,,,,,,,,,
2026-09-15,CFFN,no_data_for_date,,,,,,,,,
2026-09-15,CFR,no_data_for_date,,,,,,,,,
2026-09-15,CGNX,no_data_for_date,,,,,,,,,
2026-09-15,CG,no_data_for_date,,,,,,,,,
2026-09-15,CHCO,no_data_for_date,,,,,,,,,
2026-09-15,CHDN,no_data_for_date,,,,,,,,,
2026-09-15,CHEF,no_data_for_date,,,,,,,,,
2026-09-15,CHE,no_data_for_date,,,,,,,,,
2026-09-15,CHH,no_data_for_date,,,,,,,,,
2026-09-15,CHRD,no_data_for_date,,,,,,,,,
2026-09-15,CHWY,no_data_for_date,,,,,,,,,
2026-09-15,CLBK,no_50ma_touch,,,,,,,,,
2026-09-15,CLF,no_data_for_date,,,,,,,,,
2026-09-15,CLH,no_data_for_date,,,,,,,,,
2026-09-15,CLMT,no_50ma_touch,,,,,,,,,
2026-09-15,CLOV,momentum_screen,,,,,,,,,
2026-09-15,CLSK,no_data_for_date,,,,,,,,,
2026-09-15,CMC,no_data_for_date,,,,,,,,,
2026-09-15,CNH,no_data_for_date,,,,,,,,,
2026-09-15,CNK,no_data_for_date,,,,,,,,,
2026-09-15,CNMD,no_data_for_date,,,,,,,,,
2026-09-15,CNM,no_data_for_date,,,,,,,,,
2026-09-15,CNO,no_50ma_touch,,,,,,,,,
2026-09-15,CNR,no_data_for_date,,,,,,,,,
2026-09-15,CNS,no_data_for_date,,,,,,,,,
2026-09-15,CNXC,no_data_for_date,,,,,,,,,
2026-09-15,CNXN,no_data_for_date,,,,,,,,,
2026-09-15,CNX,no_data_for_date,,,,,,,,,
2026-09-15,COCO,no_data_for_date,,,,,,,,,
2026-09-15,COHU,no_data_for_date,,,,,,,,,
2026-09-15,COKE,no_data_for_date,,,,,,,,,
2026-09-15,COLB,no_data_for_date,,,,,,,,,
2026-09-15,COLL,no_data_for_date,,,,,,,,,
2026-09-15,COLM,no_data_for_date,,,,,,,,,
2026-09-15,CON,no_data_for_date,,,,,,,,,
2026-09-15,CORT,no_data_for_date,,,,,,,,,
2026-09-15,COTY,no_data_for_date,,,,,,,,,
2026-09-15,CPB,no_data_for_date,,,,,,,,,
2026-09-15,CPF,no_data_for_date,,,,,,,,,
2026-09-15,CPK,no_data_for_date,,,,,,,,,
2026-09-15,CPRI,no_data_for_date,,,,,,,,,
2026-09-15,CRBG,no_data_for_date,,,,,,,,,
2026-09-15,CRC,no_data_for_date,,,,,,,,,
2026-09-15,CRGY,no_data_for_date,,,,,,,,,
2026-09-15,CRI,no_data_for_date,,,,,,,,,
2026-09-15,CRK,no_data_for_date,,,,,,,,,
2026-09-15,CROX,no_data_for_date,,,,,,,,,
2026-09-15,CRSR,no_data_for_date,,,,,,,,,
2026-09-15,CRS,no_data_for_date,,,,,,,,,
2026-09-15,CRUS,no_data_for_date,,,,,,,,,
2026-09-15,CRVL,no_data_for_date,,,,,,,,,
2026-09-15,CRWD,no_50ma_touch,,,,,,,,,
2026-09-15,CR,no_data_for_date,,,,,,,,,
2026-09-15,CSL,no_data_for_date,,,,,,,,,
2026-09-15,CSR,no_data_for_date,,,,,,,,,
2026-09-15,CSW,no_data_for_date,,,,,,,,,
2026-09-15,CTRE,no_data_for_date,,,,,,,,,
2026-09-15,CTS,no_data_for_date,,,,,,,,,
2026-09-15,CUBE,no_data_for_date,,,,,,,,,
2026-09-15,CUBI,no_data_for_date,,,,,,,,,
2026-09-15,CURB,no_data_for_date,,,,,,,,,
2026-09-15,CUZ,no_data_for_date,,,,,,,,,
2026-09-15,CVBF,no_data_for_date,,,,,,,,,
2026-09-15,CVCO,no_data_for_date,,,,,,,,,
2026-09-15,CVI,no_data_for_date,,,,,,,,,
2026-09-15,CVLT,no_data_for_date,,,,,,,,,
2026-09-15,CVSA,no_data_for_date,,,,,,,,,
2026-09-15,CWEN,no_data_for_date,,,,,,,,,
2026-09-15,CWK,no_data_for_date,,,,,,,,,
2026-09-15,CWST,no_data_for_date,,,,,,,,,
2026-09-15,CWT,no_data_for_date,,,,,,,,,
2026-09-15,CW,no_data_for_date,,,,,,,,,
2026-09-15,CXM,no_data_for_date,,,,,,,,,
2026-09-15,CXT,no_data_for_date,,,,,,,,,
2026-09-15,CXW,no_50ma_touch,,,,,,,,,
2026-09-15,CYTK,no_data_for_date,,,,,,,,,
2026-09-15,CZR,no_data_for_date,,,,,,,,,
2026-09-15,DAN,no_data_for_date,,,,,,,,,
2026-09-15,DAR,no_data_for_date,,,,,,,,,
2026-09-15,DAVE,no_data_for_date,,,,,,,,,
2026-09-15,DBD,no_data_for_date,,,,,,,,,
2026-09-15,DBX,no_data_for_date,,,,,,,,,
2026-09-15,DCH,no_data_for_date,,,,,,,,,
2026-09-15,DCI,no_data_for_date,,,,,,,,,
2026-09-15,DCOM,no_data_for_date,,,,,,,,,
2026-09-15,DEA,no_data_for_date,,,,,,,,,
2026-09-15,DEI,no_data_for_date,,,,,,,,,
2026-09-15,DELL,no_50ma_touch,,,,,,,,,
2026-09-15,DFH,no_data_for_date,,,,,,,,,
2026-09-15,DFIN,no_data_for_date,,,,,,,,,
2026-09-15,DGII,no_data_for_date,,,,,,,,,
2026-09-15,DINO,no_50ma_touch,,,,,,,,,
2026-09-15,DIOD,no_data_for_date,,,,,,,,,
2026-09-15,DKS,no_data_for_date,,,,,,,,,
2026-09-15,DK,no_50ma_touch,,,,,,,,,
2026-09-15,DLB,no_data_for_date,,,,,,,,,
2026-09-15,DLX,no_data_for_date,,,,,,,,,
2026-09-15,DMC,no_data_for_date,,,,,,,,,
2026-09-15,DNOW,no_data_for_date,,,,,,,,,
